Player_Id,Player_Name,Batting_hand,Country_Name,
161,RS Bopara,Right-handed,Abroad,
324,KMDN Kulasekara,Right-handed,Abroad,
163,MC Henriques,Right-handed,Abroad,
328,MJ Clarke,Right-handed,Abroad,
165,FH Edwards,Right-handed,Abroad,
41,V Sehwag,Right-handed,Indian,
167,PC Valthaty,Right-handed,Indian,
449,RW Price,Right-handed,Abroad,
169,AS Raut,Right-handed,Indian,
340,GH Vihari,Right-handed,Indian,
171,M Manhas,Right-handed,Indian,
344,AS Rajpoot,Right-handed,Indian,
173,AN Ghosh,Right-handed,Indian,
448,SS Mundhe,Right-handed,Indian,
87,MK Tiwary,Right-handed,Indian,
439,AM Salvi,Right-handed,Indian,
11,MV Boucher,Right-handed,Abroad,
356,R Dhawan,Right-handed,Indian,
179,Shoaib Ahmed,Right-handed,Abroad,
360,CM Gautam,Right-handed,Indian,
181,KP Appanna,Right-handed,Indian,
91,VY Mahesh,Right-handed,Indian,
183,NV Ojha,Right-handed,Indian,
433,ER Dwivedi,Right-handed,Indian,
185,M Vijay,Right-handed,Indian,
436,B Geeves,Right-handed,Abroad,
23,S Badrinath,Right-handed,Indian,
430,A Zampa,Right-handed,Abroad,
189,D du Preez,Right-handed,Abroad,
95,DB Das,Right-handed,Indian,
191,AD Mathews,Right-handed,Abroad,
370,PV Tambe,Right-handed,Indian,
12,B Akhil,Right-handed,Indian,
388,S Gopal,Right-handed,Indian,
97,HH Gibbs,Right-handed,Abroad,
392,Karanveer Singh,Right-handed,Indian,
197,GJ Bailey,Right-handed,Abroad,
198,AB McDonald,Right-handed,Abroad,
99,D Kalyankrishna,Right-handed,Indian,
208,AT Rayudu,Right-handed,Indian,
50,Harbhajan Singh,Right-handed,Indian,
202,Mohammad Ashraful,Right-handed,Abroad,
203,CA Pujara,Right-handed,Indian,
414,AD Nath,Right-handed,Indian,
25,JR Hopes,Right-handed,Abroad,
206,Jaskaran Singh,Right-handed,Indian,
207,AP Tare,Right-handed,Indian,
391,JO Holder,Right-handed,Abroad,
209,R Sathish,Right-handed,Indian,
407,JC Buttler,Right-handed,Abroad,
211,AA Jhunjhunwala,Right-handed,Indian,
415,MJ Guptill,Right-handed,Abroad,
405,PJ Cummins,Right-handed,Abroad,
401,D Wiese,Right-handed,Abroad,
402,SN Khan,Right-handed,Indian,
105,Umar Gul,Right-handed,Abroad,
217,JM Kemp,Right-handed,Abroad,
397,SA Abbott,Right-handed,Abroad,
3,RT Ponting,Right-handed,Abroad,
393,SS Iyer,Right-handed,Indian,
110,AB de Villiers,Right-handed,Abroad,
394,DJ Hooda,Right-handed,Indian,
395,Anureet Singh,Right-handed,Indian,
371,NM Coulter-Nile,Right-handed,Abroad,
56,A Symonds,Right-handed,Abroad,
113,Misbah-ul-Haq,Right-handed,Abroad,
227,AB Barath,Right-handed,Indian,
382,YS Chahal,Right-handed,Indian,
386,Imran Tahir,Right-handed,Indian,
383,LMP Simmons,Right-handed,Abroad,
195,Mashrafe Mortaza,Right-handed,Abroad,
377,TG Southee,Right-handed,Abroad,
116,PJ Sangwan,Right-handed,Indian,
234,SJ Srivastava,Right-handed,Indian,
235,R Sharma,Right-handed,Indian,
13,AA Noffke,Right-handed,Abroad,
118,GD McGrath,Right-handed,Abroad,
432,S Kaushik,Right-handed,Indian,
239,KB Arun Karthik,Right-handed,Indian,
434,CJ Jordan,Right-handed,Abroad,
241,PD Collingwood,Right-handed,Abroad,
242,CK Langeveldt,Right-handed,Abroad,
243,VS Malik,Right-handed,Indian,
244,A Mithun,Right-handed,Indian,
245,AP Dole,Right-handed,Indian,
123,DT Patil,Right-handed,Indian,
247,RS Sodhi,Right-handed,Indian,
437,Gagandeep Singh,Right-handed,Indian,
62,WP Saha,Right-handed,Indian,
250,B Sumanth,Right-handed,Indian,
251,C Madan,Right-handed,Indian,
252,AG Paunikar,Right-handed,Indian,
253,MR Marsh,Right-handed,Abroad,
254,AJ Finch,Right-handed,Abroad,
255,STR Binny,Right-handed,Indian,
135,TM Dilshan,Right-handed,Abroad,
268,JJ van der Wath,Right-handed,Abroad,
33,M Kaif,Right-handed,Indian,
133,SR Tendulkar,Right-handed,Indian,
494,Tejas Baroka,Right-handed,Indian,
264,Sunny Singh,Right-handed,Indian,
66,B Lee,Right-handed,Abroad,
490,RD Chahar,Right-handed,Indian,
265,NJ Rimmington,Right-handed,Abroad,
495,TS Mills,Right-handed,Abroad,
8,V Kohli,Right-handed,Indian,
491,SP Jackson,Right-handed,Indian,
269,R Ninan,Right-handed,Indian,
492,SS Agarwal,Right-handed,Indian,
246,AN Ahmed,Right-handed,Indian,
238,SW Tait,Right-handed,Abroad,
136,A Mishra,Right-handed,Indian,
263,DJ Jacobs,Right-handed,Abroad,
137,AD Mascarenhas,Right-handed,Abroad,
262,UBT Chand,Right-handed,Indian,
65,S Sohal,Right-handed,Indian,
278,S Randiv,Right-handed,Abroad,
279,BJ Haddin,Right-handed,Abroad,
261,AUK Pathan,Right-handed,Indian,
477,Basil Thampi,Right-handed,Indian,
260,MA Agarwal,Right-handed,Indian,
130,J Arunkumar,Right-handed,Indian,
32,SR Watson,Right-handed,Abroad,
141,Younis Khan,Right-handed,Abroad,
478,C de Grandhomme,Right-handed,Abroad,
142,PM Sarvesh Kumar,Right-handed,Indian,
259,RV Gomez,Right-handed,Indian,
57,RG Sharma,Right-handed,Indian,
290,I Malhotra,Right-handed,Indian,
291,L Ablish,Right-handed,Indian,
258,DT Christian,Right-handed,Abroad,
129,T Taibu,Right-handed,Abroad,
293,S Nadeem,Right-handed,Indian,
294,P Parameswaran,Right-handed,Indian,
295,CJ Ferguson,Right-handed,Abroad,
470,A Choudhary,Right-handed,Indian,
148,SD Chitnis,Right-handed,Indian,
298,ND Doshi,Right-handed,Indian,
299,B Kumar,Right-handed,Indian,
301,S Rana,Right-handed,Indian,
151,L Balaji,Right-handed,Indian,
303,F du Plessis,Right-handed,Abroad,
230,AC Voges,Right-handed,Abroad,
305,GJ Maxwell,Right-handed,Abroad,
306,SPD Smith,Right-handed,Indian,
307,MN Samuels,Right-handed,Abroad,
468,KH Devdhar,Right-handed,Indian,
309,KK Cooper,Right-handed,Abroad,
310,JP Faulkner,Right-handed,Abroad,
311,HV Patel,Right-handed,Indian,
461,AF Milne,Right-handed,Abroad,
313,DJ Harris,Right-handed,Abroad,
464,SM Boland,Right-handed,Abroad,
465,DL Chahar,Right-handed,Indian,
231,MD Mishra,Right-handed,Indian,
317,RR Bhatkal,Right-handed,Indian,
318,CJ McKay,Right-handed,Abroad,
319,N Saini,Right-handed,Indian,
425,J Yadav,Right-handed,Indian,
321,Azhar Mahmood,Right-handed,Abroad,
114,YV Takawale,Right-handed,Indian,
457,JW Hastings,Right-handed,Abroad,
454,MG Neser,Right-handed,Abroad,
325,A Ashish Reddy,Right-handed,Indian,
326,V Pratap Singh,Right-handed,Indian,
327,BB Samantray,Right-handed,Indian,
452,S Badree,Right-handed,Abroad,
329,Gurkeerat Singh,Right-handed,Indian,
330,AP Majumdar,Right-handed,Indian,
331,PA Reddy,Right-handed,Indian,
